subjID,itrial,CasesName,filename,Lesion,MouseScreenX,MouseScreenY,ImageMouseX_X_521_,ImageMouseY,NotOnTissue,Accuracy,OldTrialType,NewTrialType
0,29,c353,29_c353_C.jpg,1,1333,719,812,719,0,1,HIT,HIT
0,30,c174,30_c174_C.jpg,1,1338,527,817,527,0,1,HIT,HIT
0,31,c149,31_c149_C.jpg,1,NaN,NaN,NaN,NaN,0,0,MISS,MISS
0,32,n53,32_n53_N.jpg,0,NaN,NaN,NaN,NaN,0,1,TNEG,TNEG
0,33,c306,33_c306_C.jpg,1,NaN,NaN,NaN,NaN,0,0,MISS,MISS
0,34,c84,34_c84_C.jpg,1,NaN,NaN,NaN,NaN,0,0,MISS,MISS
0,35,n307,35_n307_N.jpg,0,NaN,NaN,NaN,NaN,0,1,TNEG,TNEG
0,36,n173,36_n173_N.jpg,0,NaN,NaN,NaN,NaN,0,1,TNEG,TNEG
0,37,c285,37_c285_C.jpg,1,NaN,NaN,NaN,NaN,0,0,MISS,MISS
0,38,c14,38_c14_C.jpg,1,1261,462,740,462,0,1,HIT,HIT
0,39,c143,39_c143_C.jpg,1,NaN,NaN,NaN,NaN,0,0,MISS,MISS
0,40,c101,40_c101_C.jpg,1,1308,402,787,402,0,1,HIT,MISS&FA
0,41,c4,41_c4_C.jpg,1,NaN,NaN,NaN,NaN,0,0,MISS,MISS
0,42,c304,42_c304_C.jpg,1,1206,490,685,490,0,1,HIT,HIT
0,43,c165,43_c165_C.jpg,1,1302,548,781,548,0,1,HIT,HIT
0,44,c3,44_c3_C.jpg,1,NaN,NaN,NaN,NaN,0,0,MISS,MISS
0,45,n28,45_n28_N.jpg,0,NaN,NaN,NaN,NaN,0,1,TNEG,TNEG
0,46,c336,46_c336_C.jpg,1,NaN,NaN,NaN,NaN,0,0,MISS,MISS
0,47,c368,47_c368_C.jpg,1,1135,586,614,586,0,1,HIT,HIT
0,48,c134,48_c134_C.jpg,1,NaN,NaN,NaN,NaN,0,0,MISS,MISS
0,49,n260,49_n260_N.jpg,0,NaN,NaN,NaN,NaN,0,1,TNEG,TNEG
0,50,c182,50_c182_C.jpg,1,1279,734,758,734,0,1,HIT,HIT
0,51,n82,51_n82_N.jpg,0,NaN,NaN,NaN,NaN,0,1,TNEG,TNEG
0,52,c251,52_c251_C.jpg,1,NaN,NaN,NaN,NaN,0,0,MISS,MISS
0,53,c43,53_c43_C.jpg,1,1146,593,625,593,0,1,HIT,HIT
0,54,n349,54_n349_N.jpg,0,NaN,NaN,NaN,NaN,0,1,TNEG,TNEG
0,55,n174,55_n174_N.jpg,0,NaN,NaN,NaN,NaN,0,1,TNEG,TNEG
0,56,c138,56_c138_C.jpg,1,NaN,NaN,NaN,NaN,0,0,MISS,MISS
0,57,c129,57_c129_C.jpg,1,NaN,NaN,NaN,NaN,0,0,MISS,MISS
0,58,c310,58_c310_C.jpg,1,NaN,NaN,NaN,NaN,0,0,MISS,MISS
0,59,c79,59_c79_C.jpg,1,1239,724,718,724,0,1,HIT,HIT
0,60,c148,60_c148_C.jpg,1,1234,389,713,389,0,1,HIT,HIT
0,61,c313,61_c313_C.jpg,1,1054,584,533,584,0,1,HIT,HIT
0,62,n27,62_n27_N.jpg,0,NaN,NaN,NaN,NaN,0,1,TNEG,TNEG
0,63,c70,63_c70_C.jpg,1,916,695,395,695,0,1,HIT,HIT
0,64,c39,64_c39_C.jpg,1,1278,531,757,531,0,1,HIT,HIT
0,65,c484,65_c484_C.jpg,1,1264,509,743,509,0,1,HIT,MISS&FA
0,66,c176,66_c176_C.jpg,1,1030,859,509,859,0,1,HIT,HIT
0,67,n33,67_n33_N.jpg,0,NaN,NaN,NaN,NaN,0,1,TNEG,TNEG
0,68,c196,68_c196_C.jpg,1,1016,672,495,672,0,1,HIT,HIT
0,69,c387,69_c387_C.jpg,1,1274,399,753,399,0,1,HIT,HIT
0,70,c27,70_c27_C.jpg,1,NaN,NaN,NaN,NaN,0,0,MISS,MISS
0,71,c437,71_c437_C.jpg,1,1228,376,707,376,0,1,HIT,HIT
0,72,c5,72_c5_C.jpg,1,NaN,NaN,NaN,NaN,0,0,MISS,MISS
0,73,n271,73_n271_N.jpg,0,NaN,NaN,NaN,NaN,0,1,TNEG,TNEG
0,74,c469,74_c469_C.jpg,1,1274,696,753,696,0,1,HIT,HIT
0,75,c68,75_c68_C.jpg,1,NaN,NaN,NaN,NaN,0,0,MISS,MISS
0,76,c375R,76_c375R_C.jpg,1,1200,566,679,566,0,1,HIT,HIT
0,77,c186,77_c186_C.jpg,1,1211,519,690,519,0,1,HIT,HIT
0,78,c266,78_c266_C.jpg,1,1180,600,659,600,0,1,HIT,HIT
0,79,c116,79_c116_C.jpg,1,1119,455,598,455,0,1,HIT,HIT
0,80,c260,80_c260_C.jpg,1,1085,790,564,790,0,1,HIT,HIT
1,1,c251,01_c251_C.jpg,1,882,744,361,744,0,1,HIT,MISS&FA
1,2,c242,02_c242_C.jpg,1,1151,580,630,580,0,1,HIT,MISS&FA
